2018-11-18 10:12:09,631;DOCKER-onos;0.727060;1018
2018-11-18 10:12:11,639;DOCKER-onos;0.817385;1018
2018-11-18 10:12:13,647;DOCKER-onos;0.808557;1018
2018-11-18 10:12:15,653;DOCKER-onos;2.608462;1018
2018-11-18 10:12:17,657;DOCKER-onos;0.647222;1018
2018-11-18 10:12:19,663;DOCKER-onos;1.481829;1018
2018-11-18 10:12:21,669;DOCKER-onos;1.241391;1018
2018-11-18 10:12:23,674;DOCKER-onos;0.891921;1019
2018-11-18 10:12:25,679;DOCKER-onos;0.973794;1019
2018-11-18 10:12:27,688;DOCKER-onos;0.806373;1019
2018-11-18 10:12:29,693;DOCKER-onos;1.759118;1019
2018-11-18 10:12:31,698;DOCKER-onos;1.377448;1019
2018-11-18 10:12:33,703;DOCKER-onos;0.867250;1019
2018-11-18 10:12:35,709;DOCKER-onos;0.998536;1019
2018-11-18 10:12:37,720;DOCKER-onos;0.823217;1019
2018-11-18 10:12:39,726;DOCKER-onos;0.422305;1019
2018-11-18 10:12:41,731;DOCKER-onos;0.980419;1019
2018-11-18 10:12:43,737;DOCKER-onos;209.294212;1027
2018-11-18 10:12:45,871;DOCKER-onos;308.979896;1088
2018-11-18 10:12:51,190;DOCKER-onos;890.168946;1350
2018-11-18 10:12:53,200;DOCKER-onos;250.298906;1517
2018-11-18 10:12:55,205;DOCKER-onos;187.677283;1634
